"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2020","54","NO2","Globeville","08-031-0028","AQS","10","39","3","9","24","54"
"01/02/2020","50","NO2","Globeville","08-031-0028","AQS","7","31","1",".","27","50"
"01/03/2020","49","NO2","Globeville","08-031-0028","AQS","7","33","1",".","29","49"
"01/04/2020","43","NO2","DENVER - CAMP","08-031-0002","AQS","7","36","3","29","19","43"
"01/05/2020","43","NO2","Globeville","08-031-0028","AQS","7","32","1",".","16","43"
"01/06/2020","48","NO2","Globeville","08-031-0028","AQS","7","37","0",".","25","48"
"01/07/2020","54","NO2","Globeville","08-031-0028","AQS","9","26","3","24","30","54"
"01/08/2020","49","NO2","Globeville","08-031-0028","AQS","10","35","3",".","33","49"
"01/09/2020","44","NO2","I-25","08-031-0027","AQS","8","32","1",".","21","44"
"01/10/2020","45","NO2","Globeville","08-031-0028","AQS","8","24","1","23","30","45"
"01/11/2020","57","PM2.5","Globeville","08-031-0028","AQS","8","23","3",".","57","43"
"01/12/2020","45","NO2","Globeville","08-031-0028","AQS","10","35","1",".","25","45"
"01/13/2020","56","NO2","Globeville","08-031-0028","AQS","10","33","4","20","44","56"
"01/14/2020","70","NO2","DENVER - CAMP","08-031-0002","AQS","17","21","9",".","59","70"
"01/15/2020","43","NO2","I-25","08-031-0027","AQS","10","28","1",".","33","43"
"01/16/2020","57","PM10","DENVER - CAMP","08-031-0002","AQS","9","10","4","57","55","43"
"01/17/2020","65","NO2","DENVER - CAMP","08-031-0002","AQS","14","39","10",".","55","65"
"01/18/2020","46","NO2","Globeville","08-031-0028","AQS","9","30","1",".","30","46"
"01/19/2020","54","NO2","Globeville","08-031-0028","AQS","10","20","3","27","52","54"
"01/20/2020","59","PM2.5","Globeville","08-031-0028","AQS","16","19","3",".","59","55"
"01/21/2020","103","PM2.5","Globeville","08-031-0028","AQS","18","15","10",".","103","76"
"01/22/2020","55","NO2","Globeville","08-031-0028","AQS","16","36","7","30","40","55"
"01/23/2020","51","NO2","Globeville","08-031-0028","AQS","6","31","1",".","38","51"
"01/24/2020","61","NO2","Globeville","08-031-0028","AQS","14","22","7",".","54","61"
"01/25/2020","48","PM2.5","Globeville","08-031-0028","AQS","13","29","7",".","48","45"
"01/26/2020","45","NO2","DENVER - CAMP","08-031-0002","AQS","11","27","3",".","28","45"
"01/27/2020","52","PM2.5","Globeville","08-031-0028","AQS","13","17","3",".","52","45"
"01/28/2020","50","NO2","Globeville","08-031-0028","AQS","8","29","3","24","40","50"
"01/29/2020","43","NO2","Globeville","08-031-0028","AQS","7","30","1",".","42","43"
"01/30/2020","60","PM2.5","Globeville","08-031-0028","AQS","7","25","3",".","60","49"
"01/31/2020","55","NO2","Globeville","08-031-0028","AQS","7","32","3","19","38","55"
"02/01/2020","53","NO2","Globeville","08-031-0028","AQS","7","44","1",".","20","53"
"02/02/2020","44","Ozone","DENVER - CAMP","08-031-0002","AQS","6","44","1",".","13","44"
"02/03/2020","25","Ozone","La Casa","08-031-0026","AQS","5","25","0","6","14","17"
"02/04/2020","38","NO2","Globeville","08-031-0028","AQS","6","26","0",".","25","38"
"02/05/2020","52","PM2.5","Globeville","08-031-0028","AQS","8","26","1",".","52","51"
"02/06/2020","57","NO2","Globeville","08-031-0028","AQS","8","27","3","13","33","57"
"02/07/2020","40","PM2.5","Globeville","08-031-0028","AQS","5","31","0",".","40","38"
