"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"05/07/2020","41","Ozone","CCNY","36-061-0135","AirNow",".","41",".","."
"05/08/2020","32","Ozone","CCNY","36-061-0135","AirNow",".","32",".","."
"05/09/2020","27","Ozone","CCNY","36-061-0135","AirNow",".","27",".","."
"05/10/2020","42","Ozone","CCNY","36-061-0135","AirNow",".","42",".","."
"05/11/2020","31","Ozone","CCNY","36-061-0135","AirNow",".","31",".","."
"05/13/2020","41","Ozone","CCNY","36-061-0135","AirNow",".","41",".","."
"05/14/2020","44","Ozone","CCNY","36-061-0135","AirNow",".","44",".","."
"05/15/2020","58","Ozone","CCNY","36-061-0135","AirNow",".","58",".","."
"05/16/2020","41","Ozone","CCNY","36-061-0135","AirNow",".","41",".","."
"05/17/2020","43","Ozone","CCNY","36-061-0135","AirNow",".","43",".","."
"05/18/2020","43","Ozone","CCNY","36-061-0135","AirNow",".","43",".","."
"05/19/2020","39","Ozone","CCNY","36-061-0135","AirNow",".","39",".","."
"05/20/2020","39","Ozone","CCNY","36-061-0135","AirNow",".","39",".","."
"05/21/2020","33","Ozone","CCNY","36-061-0135","AirNow",".","33",".","."
"05/22/2020","34","Ozone","CCNY","36-061-0135","AirNow",".","34",".","."
"05/23/2020","33","Ozone","CCNY","36-061-0135","AirNow",".","33",".","."
"05/24/2020","36","Ozone","CCNY","36-061-0135","AirNow",".","36",".","."
"05/25/2020","30","Ozone","CCNY","36-061-0135","AirNow",".","30",".","."
"05/27/2020","26","Ozone","CCNY","36-061-0135","AirNow",".","26",".","."
"05/28/2020","19","Ozone","CCNY","36-061-0135","AirNow",".","19",".","."
"05/29/2020","23","Ozone","CCNY","36-061-0135","AirNow",".","23",".","."
"05/30/2020","40","Ozone","CCNY","36-061-0135","AirNow",".","40",".","."
"05/31/2020","30","Ozone","CCNY","36-061-0135","AirNow",".","30",".","."
"06/01/2020","36","Ozone","CCNY","36-061-0135","AirNow",".","36",".","."
"06/02/2020","44","Ozone","CCNY","36-061-0135","AirNow",".","44",".","."
"06/03/2020","43","Ozone","CCNY","36-061-0135","AirNow",".","43",".","."
"06/04/2020","67","Ozone","CCNY","36-061-0135","AirNow",".","67",".","."
"06/05/2020","35","Ozone","CCNY","36-061-0135","AirNow",".","35",".","."
"06/06/2020","48","Ozone","CCNY","36-061-0135","AirNow",".","48",".","."
"06/07/2020","33","Ozone","CCNY","36-061-0135","AirNow",".","33",".","."
"06/08/2020","32","Ozone","CCNY","36-061-0135","AirNow",".","32",".","."
"06/09/2020","97","Ozone","CCNY","36-061-0135","AirNow",".","97",".","."
"06/10/2020","44","Ozone","CCNY","36-061-0135","AirNow",".","44",".","."
"06/11/2020","27","Ozone","CCNY","36-061-0135","AirNow",".","27",".","."
"06/12/2020","48","Ozone","CCNY","36-061-0135","AirNow",".","48",".","."
"06/13/2020","38","Ozone","CCNY","36-061-0135","AirNow",".","38",".","."
"06/14/2020","38","Ozone","CCNY","36-061-0135","AirNow",".","38",".","."
"06/15/2020","38","Ozone","CCNY","36-061-0135","AirNow",".","38",".","."
"06/16/2020","39","Ozone","CCNY","36-061-0135","AirNow",".","39",".","."
"06/17/2020","31","Ozone","CCNY","36-061-0135","AirNow",".","31",".","."
"06/19/2020","38","Ozone","CCNY","36-061-0135","AirNow",".","38",".","."
"06/20/2020","48","Ozone","CCNY","36-061-0135","AirNow",".","48",".","."
"06/21/2020","40","Ozone","CCNY","36-061-0135","AirNow",".","40",".","."
"06/22/2020","74","Ozone","CCNY","36-061-0135","AirNow",".","74",".","."
"06/23/2020","51","Ozone","CCNY","36-061-0135","AirNow",".","51",".","."
"06/24/2020","43","Ozone","CCNY","36-061-0135","AirNow",".","43",".","."
"06/25/2020","80","Ozone","CCNY","36-061-0135","AirNow",".","80",".","."
"06/26/2020","54","Ozone","CCNY","36-061-0135","AirNow",".","54",".","."
