"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"01/01/2019","42","PM2.5","PS 19","36-061-0128","AQS","5","29",".","42"
"01/02/2019","64","PM2.5","PS 19","36-061-0128","AQS","6","20",".","64"
"01/03/2019","54","PM2.5","PS 19","36-061-0128","AQS","5","26","11","54"
"01/04/2019","57","PM2.5","Intermediate School 143","36-061-0115","AQS","5","19",".","57"
"01/05/2019","50","PM2.5","DIVISION STREET","36-061-0134","AQS","7","26",".","50"
"01/06/2019","51","PM2.5","DIVISION STREET","36-061-0134","AQS","3","28",".","51"
"01/07/2019","36","PM2.5","PS 19","36-061-0128","AQS","5","23",".","36"
"01/08/2019","58","PM2.5","Intermediate School 143","36-061-0115","AQS","10","19",".","58"
"01/09/2019","37","PM2.5","DIVISION STREET","36-061-0134","AQS","7","26","8","37"
"01/10/2019","42","PM2.5","Intermediate School 143","36-061-0115","AQS","2","26",".","42"
"01/11/2019","43","PM2.5","Intermediate School 143","36-061-0115","AQS","2","29",".","43"
"01/12/2019","37","PM2.5","DIVISION STREET","36-061-0134","AQS","3","22",".","37"
"01/13/2019","42","PM2.5","PS 19","36-061-0128","AQS","3","23",".","42"
"01/14/2019","42","PM2.5","PS 19","36-061-0128","AQS","3","23",".","42"
"01/15/2019","56","PM2.5","DIVISION STREET","36-061-0134","AQS","8","17","20","56"
"01/16/2019","59","PM2.5","Intermediate School 143","36-061-0115","AQS","8","22",".","59"
"01/17/2019","44","PM2.5","PS 19","36-061-0128","AQS","6",".",".","44"
"01/18/2019","67","PM2.5","PS 19","36-061-0128","AQS","6","8",".","67"
"01/19/2019","48","PM2.5","PS 19","36-061-0128","AQS","5","20",".","48"
"01/20/2019","37","PM2.5","PS 19","36-061-0128","AQS","5","29",".","37"
"01/21/2019","50","PM2.5","Intermediate School 143","36-061-0115","AQS","2","31","7","50"
"01/22/2019","52","PM2.5","Intermediate School 143","36-061-0115","AQS","5","25",".","52"
"01/23/2019","49","PM2.5","Intermediate School 143","36-061-0115","AQS","8","14",".","49"
"01/24/2019","30","PM2.5","Intermediate School 143","36-061-0115","AQS","8","25",".","30"
"01/25/2019","46","PM2.5","Intermediate School 143","36-061-0115","AQS","3","27",".","46"
"01/26/2019","43","PM2.5","Intermediate School 143","36-061-0115","AQS","3","23",".","43"
"01/27/2019","43","PM2.5","Intermediate School 143","36-061-0115","AQS","6","28","15","43"
"01/28/2019","54","PM2.5","PS 19","36-061-0128","AQS","3","26",".","54"
"01/29/2019","50","PM2.5","PS 19","36-061-0128","AQS","11","17",".","50"
"01/30/2019","54","PM2.5","Intermediate School 143","36-061-0115","AQS","3","30",".","54"
"01/31/2019","49","PM2.5","Intermediate School 143","36-061-0115","AQS","3","21",".","49"
"02/01/2019","48","PM2.5","Intermediate School 143","36-061-0115","AQS","6","20",".","48"
