"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM25"
"03/22/2020","38","PM2.5","Andersen School","27-053-0963","AirNow","5","19","1","38"
"03/23/2020","46","PM2.5","Andersen School","27-053-0963","AirNow","6","12","1","46"
"03/24/2020","50","PM2.5","Andersen School","27-053-0963","AirNow","6","17","1","50"
"03/25/2020","50","PM2.5","Andersen School","27-053-0963","AirNow","7","11","1","50"
"03/26/2020","41","PM2.5","Andersen School","27-053-0963","AirNow","7","17","1","41"
"03/27/2020","54","PM2.5","Andersen School","27-053-0963","AirNow","8","19","3","54"
"03/28/2020","28","PM2.5","Andersen School","27-053-0963","AirNow","6","21","1","28"
"03/29/2020","24","PM2.5","Andersen School","27-053-0963","AirNow","6","23","1","24"
"03/30/2020","32","PM2.5","Andersen School","27-053-0963","AirNow","6","21","1","32"
"03/31/2020","30","PM2.5","Andersen School","27-053-0963","AirNow","5","20","0","30"
"04/01/2020","26","PM2.5","Andersen School","27-053-0963","AirNow","5","19",".","26"
"04/02/2020","38","PM2.5","Andersen School","27-053-0963","AirNow",".","19",".","38"
"04/03/2020","23","PM2.5","Andersen School","27-053-0963","AirNow",".","16",".","23"
"04/04/2020","46","PM2.5","Andersen School","27-053-0963","AirNow",".","20",".","46"
"04/05/2020","52","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow",".","24",".","52"
"04/06/2020","64","PM2.5","Andersen School","27-053-0963","AirNow",".","16",".","64"
"04/07/2020","60","PM2.5","Andersen School","27-053-0963","AirNow",".","16",".","60"
"04/08/2020","30","PM2.5","Andersen School","27-053-0963","AirNow",".","29",".","30"
"04/09/2020","22","PM2.5","Andersen School","27-053-0963","AirNow",".","20",".","22"
"04/10/2020","36","PM2.5","Andersen School","27-053-0963","AirNow",".","21",".","36"
"04/11/2020","54","PM2.5","Andersen School","27-053-0963","AirNow",".","26",".","54"
"04/12/2020","23","Ozone","Near Road I-35/I-94","27-053-0962","AirNow",".","23",".","19"
"04/13/2020","23","Ozone","Near Road I-35/I-94","27-053-0962","AirNow",".","23",".","22"
"04/14/2020","24","PM2.5","Andersen School","27-053-0963","AirNow",".","19",".","24"
"04/15/2020","26","PM2.5","Andersen School","27-053-0963","AirNow",".","20",".","26"
"04/16/2020","31","PM2.5","Andersen School","27-053-0963","AirNow",".","25",".","31"
"04/17/2020","35","PM2.5","Andersen School","27-053-0963","AirNow",".","26",".","35"
"04/18/2020","34","PM2.5","Andersen School","27-053-0963","AirNow",".","27",".","34"
"04/19/2020","27","Ozone","Near Road I-35/I-94","27-053-0962","AirNow",".","27",".","22"
