"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2019","27","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","27","0",".","24","10"
"01/02/2019","35","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","26","0",".","35","35"
"01/03/2019","37","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","18","0","7","37","31"
"01/04/2019","53","PM2.5","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","5","19","0",".","53","28"
"01/05/2019","62","PM2.5","VON HILLERN ST","25-025-0044","AQS","6","11","1",".","62","25"
"01/06/2019","39","PM2.5","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","3","31","0","6","39","20"
"01/07/2019","33","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","30","0",".","33","27"
"01/08/2019","44","PM2.5","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","6","17","1",".","44","42"
"01/09/2019","35","PM2.5","VON HILLERN ST","25-025-0044","AQS","6","22","1","4","35","27"
"01/10/2019","29","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","24","0",".","29","17"
"01/11/2019","34","PM2.5","VON HILLERN ST","25-025-0044","AQS","2","31","0",".","34","20"
"01/12/2019","31","PM2.5","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","29","0","3","31","18"
"01/13/2019","39","PM2.5","VON HILLERN ST","25-025-0044","AQS","2","26","0",".","39","23"
"01/14/2019","51","PM2.5","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","6","20","0",".","51","43"
"01/15/2019","41","NO2","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","6","26","1","6","40","41"
"01/16/2019","55","PM2.5","VON HILLERN ST","25-025-0044","AQS","7","27","1",".","55","35"
"01/17/2019","39","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","27","0",".","39","33"
"01/18/2019","48","PM2.5","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","5","19","1","15","48","46"
"01/19/2019","41","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","27","0",".","41","25"
"01/20/2019","29","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","27","0",".","29","24"
"01/21/2019","41","PM2.5","VON HILLERN ST","25-025-0044","AQS","2","27","0","4","41","16"
"01/22/2019","61","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","30","0",".","61","43"
"01/23/2019","51","PM2.5","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","6","33","0",".","51","42"
"01/24/2019","35","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","35","0","6","22","14"
"01/25/2019","44","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","29","0",".","44","30"
"01/26/2019","52","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","31","0",".","52","30"
"01/27/2019","54","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","38","1","12","54","38"
"01/28/2019","47","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","30","0",".","47","25"
"01/29/2019","43","PM2.5","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","3","31","0",".","43","29"
"01/30/2019","46","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","31","0","12","46","28"
"01/31/2019","53","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","28","0",".","53","23"
"02/01/2019","57","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","26","0",".","57","28"
"02/02/2019","63","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","31","1","17","63","31"
"02/03/2019","74","PM2.5","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","6","22","1",".","74","38"
"02/04/2019","71","PM2.5","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","5","31","1",".","71","33"
"02/05/2019","54","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","31","0",".","54","33"
"02/06/2019","38","PM2.5","VON HILLERN ST","25-025-0044","AQS","2","27","0",".","38","29"
"02/07/2019","34","PM2.5","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","3","22","0",".","34","28"
"02/08/2019","28","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","27","0","5","28","25"
