"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","SO2","PM10","PM25","NO2"
"05/11/2020","58","Ozone","1ZB Bloomfield","35-045-0009","AirNow","58",".",".",".","."
"05/12/2020","49","Ozone","","35-045-0018","AirNow","49",".",".",".","."
"05/13/2020","47","Ozone","","35-045-0018","AirNow","47",".",".",".","."
"05/14/2020","64","Ozone","","35-045-0018","AirNow","64",".",".",".","."
"05/15/2020","61","Ozone","","35-045-0018","AirNow","61",".",".",".","."
"05/16/2020","46","Ozone","","35-045-0018","AirNow","46",".",".",".","."
"05/17/2020","49","Ozone","","35-045-0018","AirNow","49",".",".",".","."
"05/18/2020","71","Ozone","1H Substation","35-045-1005","AirNow","71",".",".",".","."
"05/19/2020","47","Ozone","","35-045-0018","AirNow","47",".",".",".","."
"05/20/2020","87","Ozone","","35-045-0018","AirNow","87",".",".",".","."
"05/21/2020","71","Ozone","","35-045-0018","AirNow","71",".",".",".","."
"05/22/2020","77","Ozone","","35-045-0018","AirNow","77",".",".",".","."
"05/23/2020","67","Ozone","","35-045-0018","AirNow","67",".",".",".","."
"05/24/2020","58","Ozone","","35-045-0018","AirNow","58",".",".",".","."
"05/25/2020","64","Ozone","","35-045-0018","AirNow","64",".",".",".","."
"05/26/2020","54","Ozone","","35-045-0018","AirNow","54",".",".",".","."
"05/27/2020","40","Ozone","","35-045-0018","AirNow","40",".",".",".","."
"05/28/2020","39","Ozone","","35-045-0018","AirNow","39",".",".",".","."
"05/29/2020","43","Ozone","","35-045-0018","AirNow","43",".",".",".","."
"05/30/2020","46","Ozone","1H Substation","35-045-1005","AirNow","46",".",".",".","."
"05/31/2020","46","Ozone","","35-045-0018","AirNow","46",".",".",".","."
"06/01/2020","48","Ozone","1H Substation","35-045-1005","AirNow","48",".",".",".","."
"06/02/2020","47","Ozone","","35-045-0018","AirNow","47",".",".",".","."
"06/03/2020","48","Ozone","","35-045-0018","AirNow","48",".",".",".","."
"06/04/2020","48","Ozone","","35-045-0018","AirNow","48",".",".",".","."
"06/05/2020","51","Ozone","1H Substation","35-045-1005","AirNow","51",".",".",".","."
"06/06/2020","77","Ozone","1H Substation","35-045-1005","AirNow","77",".",".",".","."
"06/07/2020","54","Ozone","1H Substation","35-045-1005","AirNow","54",".",".",".","."
"06/08/2020","58","Ozone","","35-045-0018","AirNow","58",".",".",".","."
"06/09/2020","43","Ozone","","35-045-0018","AirNow","43",".",".",".","."
"06/10/2020","46","Ozone","","35-045-0018","AirNow","46",".",".",".","."
"06/11/2020","48","Ozone","","35-045-0018","AirNow","48",".",".",".","."
"06/12/2020","58","Ozone","1H Substation","35-045-1005","AirNow","58",".",".",".","."
"06/13/2020","47","Ozone","","35-045-0018","AirNow","47",".",".",".","."
"06/14/2020","54","Ozone","1H Substation","35-045-1005","AirNow","54",".",".",".","."
"06/15/2020","50","Ozone","1H Substation","35-045-1005","AirNow","50",".",".",".","."
"06/16/2020","61","Ozone","1H Substation","35-045-1005","AirNow","61",".",".",".","."
"06/17/2020","84","Ozone","","35-045-0018","AirNow","84",".",".",".","."
"06/18/2020","49","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AirNow","49",".",".",".","."
"06/19/2020","58","Ozone","","35-045-0018","AirNow","58",".",".",".","."
"06/20/2020","61","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AirNow","61",".",".",".","."
"06/21/2020","44","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AirNow","44",".",".",".","."
"06/22/2020","49","Ozone","","35-045-0018","AirNow","49",".",".",".","."
"06/23/2020","48","Ozone","","35-045-0018","AirNow","48",".",".",".","."
"06/24/2020","51","Ozone","","35-045-0018","AirNow","51",".",".",".","."
"06/25/2020","47","Ozone","1H Substation","35-045-1005","AirNow","47",".",".",".","."
"06/26/2020","50","Ozone","1H Substation","35-045-1005","AirNow","50",".",".",".","."
