"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","SO2","PM10","PM25","NO2"
"01/01/2020","36","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","36","0","5",".","19"
"01/02/2020","35","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","35","0","0",".","22"
"01/03/2020","38","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","38","0","3",".","21"
"01/04/2020","40","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","40","1","6",".","21"
"01/05/2020","38","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","38","1","3",".","19"
"01/06/2020","39","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","39","0","0",".","15"
"01/07/2020","38","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","38","3","5",".","24"
"01/08/2020","38","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","38","6","6",".","24"
"01/09/2020","39","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","39","1","6",".","25"
"01/10/2020","36","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","36","0","2",".","21"
"01/11/2020","39","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","39","1","3",".","22"
"01/12/2020","40","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","40","0","4",".","23"
"01/13/2020","43","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","43","0","5",".","23"
"01/14/2020","41","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","41","4","6",".","27"
"01/15/2020","43","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","43","1","6",".","27"
"01/16/2020","31","Ozone","1ZB Bloomfield","35-045-0009","AQS","31","6","7",".","19"
"01/17/2020","42","Ozone","1ZB Bloomfield","35-045-0009","AQS","42","7","2",".","16"
"01/18/2020","41","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","41","19","1",".","18"
"01/19/2020","38","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","38","20","2",".","30"
"01/20/2020","36","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","36","6","5",".","24"
"01/21/2020","31","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","31","0","3",".","24"
"01/22/2020","33","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","33","0","0",".","9"
"01/23/2020","36","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","36","1","0",".","17"
"01/24/2020","34","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","34","6","2",".","20"
"01/25/2020","34","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","34","16","1",".","18"
"01/26/2020","36","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","36","16","0",".","19"
"01/27/2020","38","Ozone","1ZB Bloomfield","35-045-0009","AQS","38","7","0",".","19"
"01/28/2020","42","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","42","3","0",".","23"
"01/29/2020","37","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","37","4","2",".","20"
"01/30/2020","39","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","39","7","0",".","25"
"01/31/2020","40","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","40","0","0",".","22"
"02/01/2020","37","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","37","3","1",".","19"
"02/02/2020","39","Ozone","","35-045-0018","AQS","39","1","2",".","19"
"02/03/2020","42","Ozone","1ZB Bloomfield","35-045-0009","AQS","42","0","17",".","6"
"02/04/2020","37","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","37","0","3",".","8"
"02/05/2020","38","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","38","0","1",".","10"
"02/06/2020","35","Ozone","","35-045-0018","AQS","35","0","0",".","11"
"02/07/2020","33","Ozone","","35-045-0018","AQS","33","4","6",".","21"
"02/08/2020","38","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","38","21","4",".","19"
"02/09/2020","43","Ozone","","35-045-0018","AQS","43","4","6",".","22"
"02/10/2020","36","Ozone","1H Substation","35-045-1005","AQS","36","1","2",".","24"
"02/11/2020","36","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","36","20","2",".","17"
"02/12/2020","41","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","41","19","2",".","9"
"02/13/2020","40","Ozone","","35-045-0018","AQS","40","19","3",".","24"
"02/14/2020","40","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","40","20","5",".","24"
"02/15/2020","42","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","42","20","3",".","23"
"02/16/2020","38","Ozone","1H Substation","35-045-1005","AQS","38","20","4",".","22"
"02/17/2020","36","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","36","20","5",".","22"
"02/18/2020","42","Ozone","","35-045-0018","AQS","42","20","6",".","22"
"02/19/2020","44","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","44","20","10",".","22"
"02/20/2020","46","Ozone","","35-045-0018","AQS","46","19","4",".","24"
"02/21/2020","36","Ozone","1H Substation","35-045-1005","AQS","36","20","7",".","26"
"02/22/2020","31","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","31","20","6",".","14"
"02/23/2020","40","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","40","19","0",".","18"
"02/24/2020","46","Ozone","","35-045-0018","AQS","46","20","4",".","17"
"02/25/2020","40","Ozone","","35-045-0018","AQS","40","19",".",".","11"
"02/26/2020","39","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","39","19","0",".","24"
"02/27/2020","41","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","41","20","3",".","23"
"02/28/2020","41","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","41","20","3",".","25"
"02/29/2020","40","Ozone","","35-045-0018","AQS","40","20","3",".","25"
"03/01/2020","43","Ozone","1H Substation","35-045-1005","AQS","43","20","6",".","23"
"03/02/2020","42","Ozone","","35-045-0018","AQS","42","20","3",".","22"
"03/03/2020","42","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","42","20","5",".","23"
"03/04/2020","43","Ozone","","35-045-0018","AQS","43","20","5",".","24"
"03/05/2020","44","Ozone","1H Substation","35-045-1005","AQS","44","1","4",".","25"
"03/06/2020","44","Ozone","","35-045-1233","AQS","44","0","10",".","14"
"03/07/2020","47","Ozone","","35-045-1233","AQS","47","0","9",".","15"
"03/08/2020","46","Ozone","","35-045-1233","AQS","46","1","6",".","19"
"03/09/2020","44","Ozone","","35-045-0018","AQS","44","1","5",".","21"
"03/10/2020","37","Ozone","","35-045-1233","AQS","37","1","4",".","24"
"03/11/2020","29","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","29","1","0",".","14"
"03/12/2020","35","Ozone","","35-045-0018","AQS","35","1","1",".","19"
"03/13/2020","40","Ozone","","35-045-1233","AQS","40","0","2",".","14"
"03/14/2020","41","Ozone","","35-045-0018","AQS","41","1","2",".","18"
"03/15/2020","46","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","46","0","2",".","17"
"03/16/2020","51","Ozone","","35-045-1233","AQS","51","0","3",".","24"
"03/17/2020","48","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","48","0","8",".","26"
"03/18/2020","45","Ozone","","35-045-0018","AQS","45","0","7",".","26"
"03/19/2020","46","Ozone","1H Substation","35-045-1005","AQS","46","1","1",".","7"
"03/20/2020","46","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","46","3","2",".","14"
"03/21/2020","45","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","45","4","1",".","9"
"03/22/2020","44","Ozone","1H Substation","35-045-1005","AQS","44","4","1",".","19"
"03/23/2020","46","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","46","3","5",".","19"
"03/24/2020","54","Ozone","","35-045-0018","AQS","54","4","0",".","17"
"03/25/2020","49","Ozone","1H Substation","35-045-1005","AQS","49","3","2",".","26"
"03/26/2020","50","Ozone","1H Substation","35-045-1005","AQS","50","3","6",".","26"
"03/27/2020","50","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","50","0","6",".","21"
"03/28/2020","44","Ozone","1H Substation","35-045-1005","AQS","44","0","1",".","14"
"03/29/2020","44","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","44","1","2",".","23"
"03/30/2020","44","Ozone","","35-045-0018","AQS","44","0",".",".","15"
"03/31/2020","44","Ozone","","35-045-0018","AQS","44","1",".",".","22"
"04/01/2020","44","Ozone","1H Substation","35-045-1005","AirNow","44","1",".",".","10"
"04/02/2020","45","Ozone","","35-045-0018","AirNow","45","0",".",".","4"
"04/03/2020","46","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","46","0",".",".","4"
"04/04/2020","46","Ozone","1H Substation","35-045-1005","AirNow","46","0",".",".","6"
"04/05/2020","44","Ozone","","35-045-0018","AirNow","44","0",".",".","3"
"04/06/2020","46","Ozone","","35-045-0018","AirNow","46","0",".",".","7"
"04/07/2020","48","Ozone","","35-045-0018","AirNow","48","0",".",".","11"
"04/08/2020","54","Ozone","","35-045-0018","AirNow","54","0",".",".","8"
"04/09/2020","47","Ozone","1ZB Bloomfield","35-045-0009","AirNow","47","0",".",".","6"
"04/10/2020","50","Ozone","","35-045-0018","AirNow","50","0",".",".","7"
"04/11/2020","54","Ozone","","35-045-0018","AirNow","54","0",".",".","8"
"04/12/2020","46","Ozone","1H Substation","35-045-1005","AirNow","46","0",".",".","1"
"04/13/2020","48","Ozone","","35-045-0018","AirNow","48","0",".",".","0"
"04/14/2020","48","Ozone","","35-045-0018","AirNow","48","0",".",".","6"
"04/15/2020","44","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","44","0",".",".","6"
"04/16/2020","44","Ozone","1H Substation","35-045-1005","AirNow","44","0",".",".","5"
"04/17/2020","46","Ozone","","35-045-0018","AirNow","46","0",".",".","5"
"04/18/2020","54","Ozone","","35-045-0018","AirNow","54","0",".",".","6"
"04/19/2020","45","Ozone","","35-045-0018","AirNow","45","0",".",".","6"
"04/20/2020","48","Ozone","1H Substation","35-045-1005","AirNow","48","0",".",".","3"
"04/21/2020","58","Ozone","","35-045-0018","AirNow","58","0",".",".","1"
"04/22/2020","51","Ozone","","35-045-0018","AirNow","51","0",".",".","1"
"04/23/2020","45","Ozone","1H Substation","35-045-1005","AirNow","45","0",".",".","7"
"04/24/2020","54","Ozone","","35-045-0018","AirNow","54","0",".",".","1"
"04/25/2020","47","Ozone","","35-045-0018","AirNow","47","0",".",".","6"
"04/26/2020","49","Ozone","Chaco Culture NHP - Radio Repeater","35-045-0020","AQS","49","0",".",".","8"
"04/27/2020","51","Ozone","","35-045-0018","AirNow","51","0",".",".","6"
"04/28/2020","45","Ozone","","35-045-0018","AirNow","45","0",".",".","5"
"04/29/2020","49","Ozone","1H Substation","35-045-1005","AirNow","49","0",".",".","10"
"04/30/2020","48","Ozone","","35-045-0018","AirNow","48","0",".",".","9"
"05/01/2020","61","Ozone","","35-045-0018","AirNow","61",".",".",".","."
"05/02/2020","54","Ozone","","35-045-0018","AirNow","54",".",".",".","."
"05/03/2020","54","Ozone","","35-045-0018","AirNow","54",".",".",".","."
"05/04/2020","49","Ozone","","35-045-0018","AirNow","49",".",".",".","."
"05/05/2020","64","Ozone","","35-045-0018","AirNow","64",".",".",".","."
"05/06/2020","67","Ozone","","35-045-0018","AirNow","67",".",".",".","."
"05/07/2020","67","Ozone","","35-045-0018","AirNow","67",".",".",".","."
"05/08/2020","77","Ozone","","35-045-0018","AirNow","77",".",".",".","."
"05/09/2020","67","Ozone","1H Substation","35-045-1005","AirNow","67",".",".",".","."
"05/10/2020","87","Ozone","","35-045-0018","AirNow","87",".",".",".","."
