"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","SO2","PM25"
"03/23/2020","11","PM2.5","Hilo","15-001-1006","AQS","3","11"
"03/24/2020","13","PM2.5","Hilo","15-001-1006","AQS","6","13"
"03/25/2020","11","PM2.5","Kona","15-001-1012","AQS","6","11"
"03/26/2020","17","PM2.5","Hilo","15-001-1006","AQS","6","17"
"03/27/2020","9","PM2.5","Hilo","15-001-1006","AQS","6","9"
"03/28/2020","10","PM2.5","Hilo","15-001-1006","AQS","4","10"
"03/29/2020","10","PM2.5","Kona","15-001-1012","AQS","3","10"
"03/30/2020","14","PM2.5","Hilo","15-001-1006","AQS","3","14"
"03/31/2020","10","PM2.5","Hilo","15-001-1006","AQS","7","10"
"04/01/2020","10","PM2.5","Hilo","15-001-1006","AirNow","9","10"
"04/02/2020","9","PM2.5","Hilo","15-001-1006","AirNow","0","9"
"04/03/2020","16","PM2.5","Hilo","15-001-1006","AirNow","14","16"
"04/04/2020","13","PM2.5","Hilo","15-001-1006","AirNow","0","13"
"04/05/2020","8","PM2.5","Kona","15-001-1012","AirNow","0","8"
"04/06/2020","15","PM2.5","Hilo","15-001-1006","AirNow","11","15"
"04/07/2020","21","SO2","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","21","9"
"04/08/2020","8","PM2.5","Hilo","15-001-1006","AirNow","6","8"
"04/09/2020","14","PM2.5","Hilo","15-001-1006","AirNow","10","14"
"04/10/2020","36","PM2.5","Pahala","15-001-2016","AirNow","10","36"
"04/11/2020","36","PM2.5","Pahala","15-001-2016","AirNow","0","36"
"04/12/2020","49","PM2.5","Pahala","15-001-2016","AirNow","0","49"
"04/13/2020","46","PM2.5","Pahala","15-001-2016","AirNow","3","46"
"04/14/2020","71","PM2.5","Pahala","15-001-2016","AirNow","0","71"
"04/15/2020","71","PM2.5","Pahala","15-001-2016","AirNow","0","71"
"04/16/2020","34","PM2.5","Pahala","15-001-2016","AirNow","0","34"
"04/17/2020","26","PM2.5","Pahala","15-001-2016","AirNow","0","26"
"04/18/2020","18","PM2.5","Hilo","15-001-1006","AirNow","0","18"
"04/19/2020","18","PM2.5","Hilo","15-001-1006","AirNow","0","18"
"04/20/2020","21","PM2.5","Hilo","15-001-1006","AirNow","0","21"
"04/21/2020","20","PM2.5","Hilo","15-001-1006","AirNow","0","20"
"04/22/2020","18","PM2.5","Hilo","15-001-1006","AirNow","0","18"
"04/23/2020","19","PM2.5","Hilo","15-001-1006","AirNow","0","19"
"04/24/2020","24","PM2.5","Hilo","15-001-1006","AirNow",".","24"
"04/25/2020","20","PM2.5","Hilo","15-001-1006","AirNow","0","20"
"04/26/2020","11","PM2.5","Hilo","15-001-1006","AirNow","0","11"
"04/27/2020","10","PM2.5","HOVE","15-001-2020","AirNow","0","10"
"04/28/2020","23","PM2.5","Hilo","15-001-1006","AirNow","0","23"
"04/29/2020","23","PM2.5","Hilo","15-001-1006","AirNow","0","23"
"04/30/2020","19","PM2.5","Hilo","15-001-1006","AirNow","0","19"
"05/01/2020","16","PM2.5","Hilo","15-001-1006","AirNow",".","16"
"05/02/2020","14","PM2.5","Hilo","15-001-1006","AirNow",".","14"
"05/03/2020","10","PM2.5","Hilo","15-001-1006","AirNow",".","10"
"05/04/2020","15","PM2.5","Hilo","15-001-1006","AirNow",".","15"
"05/05/2020","20","PM2.5","Hilo","15-001-1006","AirNow",".","20"
"05/06/2020","22","PM2.5","Hilo","15-001-1006","AirNow",".","22"
"05/07/2020","18","PM2.5","Hilo","15-001-1006","AirNow",".","18"
"05/08/2020","15","PM2.5","Hilo","15-001-1006","AirNow",".","15"
"05/09/2020","13","PM2.5","Hilo","15-001-1006","AirNow",".","13"
"05/10/2020","18","PM2.5","Hilo","15-001-1006","AirNow",".","18"
"05/11/2020","19","PM2.5","Hilo","15-001-1006","AirNow",".","19"
"05/12/2020","14","PM2.5","Hilo","15-001-1006","AirNow",".","14"
"05/13/2020","17","PM2.5","Hilo","15-001-1006","AirNow",".","17"
"05/14/2020","20","PM2.5","Hilo","15-001-1006","AirNow",".","20"
"05/15/2020","15","PM2.5","Hilo","15-001-1006","AirNow",".","15"
"05/16/2020","20","PM2.5","Hilo","15-001-1006","AirNow",".","20"
"05/17/2020","19","PM2.5","Hilo","15-001-1006","AirNow",".","19"
"05/18/2020","13","PM2.5","Hilo","15-001-1006","AirNow",".","13"
"05/19/2020","15","PM2.5","Hilo","15-001-1006","AirNow",".","15"
"05/20/2020","15","PM2.5","Hilo","15-001-1006","AirNow",".","15"
"05/21/2020","10","PM2.5","Hilo","15-001-1006","AirNow",".","10"
"05/22/2020","13","PM2.5","Hilo","15-001-1006","AirNow",".","13"
"05/23/2020","16","PM2.5","Hilo","15-001-1006","AirNow",".","16"
"05/24/2020","17","PM2.5","Hilo","15-001-1006","AirNow",".","17"
"05/25/2020","15","PM2.5","Hilo","15-001-1006","AirNow",".","15"
"05/26/2020","14","PM2.5","Hilo","15-001-1006","AirNow",".","14"
"05/27/2020","18","PM2.5","Hilo","15-001-1006","AirNow",".","18"
"05/28/2020","20","PM2.5","Hilo","15-001-1006","AirNow",".","20"
"05/29/2020","15","PM2.5","Hilo","15-001-1006","AirNow",".","15"
"05/30/2020","8","PM2.5","Hilo","15-001-1006","AirNow",".","8"
"05/31/2020","11","PM2.5","Hilo","15-001-1006","AirNow",".","11"
"06/01/2020","7","PM2.5","Hilo","15-001-1006","AirNow",".","7"
"06/02/2020","11","PM2.5","Hilo","15-001-1006","AirNow",".","11"
"06/03/2020","20","PM2.5","Kona","15-001-1012","AirNow",".","20"
"06/04/2020","16","PM2.5","Hilo","15-001-1006","AirNow",".","16"
"06/05/2020","19","PM2.5","Hilo","15-001-1006","AirNow",".","19"
"06/06/2020","15","PM2.5","Hilo","15-001-1006","AirNow",".","15"
"06/07/2020","11","PM2.5","Hilo","15-001-1006","AirNow",".","11"
"06/08/2020","35","PM2.5","Kona","15-001-1012","AirNow",".","35"
"06/09/2020","53","PM2.5","Kona","15-001-1012","AirNow",".","53"
"06/10/2020","14","PM2.5","Hilo","15-001-1006","AirNow",".","14"
"06/11/2020","18","PM2.5","Kona","15-001-1012","AirNow",".","18"
"06/12/2020","21","PM2.5","Hilo","15-001-1006","AirNow",".","21"
"06/13/2020","42","PM2.5","Pahala","15-001-2016","AirNow",".","42"
"06/14/2020","20","PM2.5","Hilo","15-001-1006","AirNow",".","20"
"06/15/2020","18","PM2.5","Hilo","15-001-1006","AirNow",".","18"
"06/16/2020","25","PM2.5","Kona","15-001-1012","AirNow",".","25"
"06/17/2020","18","PM2.5","Hilo","15-001-1006","AirNow",".","18"
"06/18/2020","14","PM2.5","Hilo","15-001-1006","AirNow",".","14"
"06/19/2020","27","PM2.5","Kona","15-001-1012","AirNow",".","27"
"06/20/2020","18","PM2.5","Hilo","15-001-1006","AirNow",".","18"
"06/21/2020","16","PM2.5","Hilo","15-001-1006","AirNow",".","16"
"06/22/2020","12","PM2.5","Hilo","15-001-1006","AirNow",".","12"
"06/23/2020","17","PM2.5","Hilo","15-001-1006","AirNow",".","17"
"06/24/2020","14","PM2.5","Hilo","15-001-1006","AirNow",".","14"
"06/25/2020","15","PM2.5","Hilo","15-001-1006","AirNow",".","15"
"06/26/2020","17","PM2.5","Hilo","15-001-1006","AirNow",".","17"
