"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","SO2","PM25"
"01/01/2020","23","PM2.5","Hilo","15-001-1006","AQS","6","23"
"01/02/2020","9","PM2.5","Hilo","15-001-1006","AQS","7","9"
"01/03/2020","8","PM2.5","Pahala","15-001-2016","AQS","3","8"
"01/04/2020","10","PM2.5","Hilo","15-001-1006","AQS","4","10"
"01/05/2020","13","PM2.5","Hilo","15-001-1006","AQS","3","13"
"01/06/2020","20","PM2.5","Hilo","15-001-1006","AQS","6","20"
"01/07/2020","23","PM2.5","Hilo","15-001-1006","AQS","4","23"
"01/08/2020","11","PM2.5","Kona","15-001-1012","AQS","3","11"
"01/09/2020","13","PM2.5","Kona","15-001-1012","AQS","3","13"
"01/10/2020","9","PM2.5","Hilo","15-001-1006","AQS","3","9"
"01/11/2020","8","PM2.5","Kona","15-001-1012","AQS","4","8"
"01/12/2020","5","PM2.5","Mountain View 23","15-001-2023","AQS","3","5"
"01/13/2020","18","PM2.5","Mountain View 23","15-001-2023","AQS","3","18"
"01/14/2020","13","PM2.5","Pahala","15-001-2016","AQS","4","13"
"01/15/2020","17","PM2.5","Kona","15-001-1012","AQS","3","17"
"01/16/2020","8","PM2.5","Kona","15-001-1012","AQS","4","8"
"01/17/2020","27","SO2","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","27","9"
"01/18/2020","8","PM2.5","Hilo","15-001-1006","AQS","4","8"
"01/19/2020","10","PM2.5","Hilo","15-001-1006","AQS","4","10"
"01/20/2020","13","PM2.5","Hilo","15-001-1006","AQS","3","13"
"01/21/2020","19","PM2.5","Hilo","15-001-1006","AQS","4","19"
"01/22/2020","18","PM2.5","Hilo","15-001-1006","AQS","11","18"
"01/23/2020","29","SO2","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","29","13"
"01/24/2020","13","PM2.5","Hilo","15-001-1006","AQS","9","13"
"01/25/2020","8","PM2.5","Hilo","15-001-1006","AQS","4","8"
"01/26/2020","13","PM2.5","Hilo","15-001-1006","AQS","9","13"
"01/27/2020","12","PM2.5","Hilo","15-001-1006","AQS","4","12"
"01/28/2020","11","PM2.5","Hilo","15-001-1006","AQS","4","11"
"01/29/2020","11","PM2.5","Hilo","15-001-1006","AQS","3","11"
"01/30/2020","14","PM2.5","Hilo","15-001-1006","AQS","3","14"
"01/31/2020","17","PM2.5","Hilo","15-001-1006","AQS","3","17"
"02/01/2020","19","PM2.5","Pahala","15-001-2016","AQS","3","19"
"02/02/2020","12","PM2.5","Pahala","15-001-2016","AQS","3","12"
"02/03/2020","12","PM2.5","Hilo","15-001-1006","AQS","7","12"
"02/04/2020","14","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","7","14"
"02/05/2020","18","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","4","18"
"02/06/2020","24","PM2.5","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","3","24"
"02/07/2020","11","PM2.5","Kona","15-001-1012","AQS","3","11"
"02/08/2020","11","PM2.5","Hilo","15-001-1006","AQS","4","11"
"02/09/2020","30","SO2","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","30","14"
"02/10/2020","18","PM2.5","HOVE","15-001-2020","AQS","3","18"
"02/11/2020","10","PM2.5","Hilo","15-001-1006","AQS","6","10"
"02/12/2020","10","PM2.5","Hilo","15-001-1006","AQS","3","10"
"02/13/2020","15","PM2.5","Hilo","15-001-1006","AQS","14","15"
"02/14/2020","20","PM2.5","Hilo","15-001-1006","AQS","3","20"
"02/15/2020","20","PM2.5","Hilo","15-001-1006","AQS","3","20"
"02/16/2020","12","PM2.5","Hilo","15-001-1006","AQS","3","12"
"02/17/2020","12","PM2.5","Hilo","15-001-1006","AQS","3","12"
"02/18/2020","11","PM2.5","Pahala","15-001-2016","AQS","6","11"
"02/19/2020","11","PM2.5","Kona","15-001-1012","AQS","3","11"
"02/20/2020","15","PM2.5","Hilo","15-001-1006","AQS","4","15"
"02/21/2020","9","SO2","Hilo","15-001-1006","AQS","9","9"
"02/22/2020","12","PM2.5","Hilo","15-001-1006","AQS","4","12"
"02/23/2020","13","PM2.5","Hilo","15-001-1006","AQS","7","13"
"02/24/2020","11","PM2.5","HOVE","15-001-2020","AQS","6","11"
"02/25/2020","13","PM2.5","Hilo","15-001-1006","AQS","6","13"
"02/26/2020","15","PM2.5","Hilo","15-001-1006","AQS","4","15"
"02/27/2020","20","PM2.5","Hilo","15-001-1006","AQS","4","20"
"02/28/2020","13","PM2.5","Hilo","15-001-1006","AQS","3","13"
"02/29/2020","14","PM2.5","Hilo","15-001-1006","AQS","3","14"
"03/01/2020","12","PM2.5","Hilo","15-001-1006","AQS","3","12"
"03/02/2020","11","PM2.5","Hilo","15-001-1006","AQS","4","11"
"03/03/2020","6","SO2","Hilo","15-001-1006","AQS","6","5"
"03/04/2020","9","PM2.5","Pahala","15-001-2016","AQS","3","9"
"03/05/2020","9","PM2.5","Hilo","15-001-1006","AQS","3","9"
"03/06/2020","10","PM2.5","Mountain View 23","15-001-2023","AQS","3","10"
"03/07/2020","18","PM2.5","Hilo","15-001-1006","AQS","4","18"
"03/08/2020","15","PM2.5","Hilo","15-001-1006","AirNow","3","15"
"03/09/2020","13","PM2.5","Hilo","15-001-1006","AirNow","3","13"
"03/10/2020","8","PM2.5","Kona","15-001-1012","AQS","6","8"
"03/11/2020","6","PM2.5","Kona","15-001-1012","AQS","3","6"
"03/12/2020","14","PM2.5","Hilo","15-001-1006","AQS","7","14"
"03/13/2020","27","SO2","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","27","13"
"03/14/2020","11","PM2.5","Hilo","15-001-1006","AQS","10","11"
"03/15/2020","11","PM2.5","Hilo","15-001-1006","AQS","6","11"
"03/16/2020","15","PM2.5","Hilo","15-001-1006","AQS","3","15"
"03/17/2020","12","PM2.5","Kona","15-001-1012","AQS","6","12"
"03/18/2020","24","PM2.5","Kona","15-001-1012","AQS","3","24"
"03/19/2020","58","PM2.5","HOVE","15-001-2020","AQS","6","58"
"03/20/2020","13","PM2.5","Hilo","15-001-1006","AQS","3","13"
"03/21/2020","7","PM2.5","Hilo","15-001-1006","AQS","3","7"
"03/22/2020","15","PM2.5","Hilo","15-001-1006","AQS","4","15"
